Centro,¿EN QUE MUNICIPIO VIVES?,¿CÓMO ACOSTUMBRAS A IR DE TU CASA A LA ESCUELA? ," 	¿CUÁNTO TIEMPO HACES DE TU CASA A LA ESCUELA? "
SEMS,GUADALAJARA,"Metro, metrobús o tren ligero",31 minutos a 1 hora
CUCBA,IXTLAHUACAN DEL RIO,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCSH,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
SEMS,TLAJOMULCO DE ZUNIGA,"Camion, combi o colectivo",16 a 30 minutos
CUCEI,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
CUCEI,GUADALAJARA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCSH,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEI,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUTONALA,TONALA,"Camion, combi o colectivo",16 a 30 minutos
CUCEA,GUADALAJARA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCSH,TLAQUEPAQUE,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCSH,GUADALAJARA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCI,ATOTONILCO EL ALTO,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
CUCEI,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSH,GUADALAJARA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,TLAQUEPAQUE,"Camion, combi o colectivo",16 a 30 minutos
CUCEA,ZAPOPAN,"Camion, combi o colectivo",16 a 30 minutos
SEMS,JALOSTOTITLAN,"Camion, combi o colectivo",16 a 30 minutos
SEMS,PUERTO VALLARTA,"Camion, combi o colectivo",16 a 30 minutos
CUCSH,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEI,TLAQUEPAQUE,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCSH,TLAQUEPAQUE,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
CUALTOS,ATOTONILCO EL ALTO,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEI,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEI,TLAQUEPAQUE,Caminando,Hasta 15 minutos
CUCS,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCEI,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,TLAJOMULCO DE ZUNIGA,Caminando,16 a 30 minutos
CUCS,GUADALAJARA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCSUR,VILLA PURIFICACION,"Camion, combi o colectivo",16 a 30 minutos
CUVALLES,AMECA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,TONALA,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
CUCSH,TLAJOMULCO DE ZUNIGA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCSH,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEA,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEI,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEI,EL SALTO,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCBA,EL SALTO,"Camion, combi o colectivo",Mas de 2 horas
CUCEI,GUADALAJARA,Caminando,Hasta 15 minutos
CUVALLES,TALA,"Camion, combi o colectivo",31 minutos a 1 hora
CUTONALA,EL SALTO,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,TONALA,"Camion, combi o colectivo",16 a 30 minutos
CUVALLES,ARENAL,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEA,ZAPOPAN,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSH,ZAPOPAN,"Taxi, uber o trasporte de plataforma",31 minutos a 1 hora
SEMS,TLAJOMULCO DE ZUNIGA,"Camion, combi o colectivo",31 minutos a 1 hora
CUTONALA,GUADALAJARA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,ZAPOPAN,"Camion, combi o colectivo",Hasta 15 minutos
SEMS,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSH,TONALA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,DEGOLLADO,Caminando,31 minutos a 1 hora
CUCSUR,EL GRULLO,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEI,ZAPOTLANEJO,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCSH,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
CUCEA,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,GUADALAJARA,Caminando,16 a 30 minutos
CUCBA,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
CUCSH,ZAPOPAN,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
CUCEI,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,JALOSTOTITLAN,Caminando,16 a 30 minutos
CUCEI,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",16 a 30 minutos
CUCEI,TLAQUEPAQUE,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,GUADALAJARA,"Metro, metrobús o tren ligero",31 minutos a 1 hora
SEMS,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
CUCEI,EL SALTO,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCEI,TLAQUEPAQUE,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CULAGOS,LAGOS DE MORENO,Otro,Hasta 15 minutos
CUCEI,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUTONALA,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",16 a 30 minutos
CUVALLES,SAN MARTIN HIDALGO,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUVALLES,TALA,"Camion, combi o colectivo",31 minutos a 1 hora
